7.000000e+00 2.529699e+01 2.138550e+01
1.400000e+01 3.108475e+01 3.118820e+01
2.300000e+01 5.638336e+01 4.070762e+01
2.900000e+01 1.129308e+02 8.042255e+01
3.400000e+01 2.081798e+02 1.581193e+02
3.500000e+01 1.900015e+02 1.417151e+02
3.600000e+01 1.867521e+02 1.655955e+02
3.700000e+01 1.704218e+02 1.547145e+02
4.000000e+01 1.525956e+02 9.236042e+01
4.200000e+01 1.457442e+02 7.754257e+01
4.400000e+01 1.349233e+02 7.413248e+01
4.700000e+01 1.295994e+02 6.776057e+01
4.900000e+01 1.131886e+02 9.394039e+01
5.100000e+01 9.133573e+01 7.555615e+01
5.400000e+01 5.932545e+01 8.284767e+01
5.600000e+01 6.992932e+01 9.505615e+01
6.100000e+01 4.773438e+01 6.130796e+01
6.300000e+01 7.007631e+01 6.437825e+01
6.800000e+01 7.177950e+01 5.885280e+01
