7 44.87212	7.000000e+00 4.487212e+01 2.029041e+01
14 70.64870515082653	1.400000e+01 5.917572e+01 4.113379e+01
23 124.4290005500683	2.300000e+01 1.125244e+02 5.120481e+01
29 178.4563077564772	2.900000e+01 2.112474e+02 1.273058e+02
34 237.5536604658402	3.400000e+01 3.461682e+02 1.477884e+02
35 251.0621253830264	3.500000e+01 3.743909e+02 1.525717e+02
36 257.0110910567876	3.600000e+01 3.404008e+02 1.311804e+02
37 263.1589553001352	3.700000e+01 3.445340e+02 1.379538e+02
40 265.977427305439	4.000000e+01 2.838585e+02 1.365538e+02
42 263.6366884305801	4.200000e+01 2.917907e+02 1.674145e+02
44 262.3892017465042	4.400000e+01 2.662502e+02 1.683854e+02
47 262.4021455821316	4.700000e+01 2.642570e+02 1.805123e+02
49 263.5810165307427	4.900000e+01 2.843162e+02 2.045188e+02
51 265.6433019111313	5.100000e+01 2.729344e+02 2.071203e+02
54 270.3206508277345	5.400000e+01 2.830841e+02 2.101320e+02
56 274.4591811774289	5.600000e+01 2.784735e+02 2.037403e+02
61 288.2629942999381	6.100000e+01 3.106542e+02 2.760582e+02
63 295.1440228245878	6.300000e+01 3.300148e+02 2.867492e+02
68 315.7112970930244	6.800000e+01 3.278482e+02 3.706615e+02
