7 30.98874	7.000000e+00 3.098874e+01 1.775223e+01
14 49.09445396400053	1.400000e+01 3.464065e+01 2.539832e+01
23 87.60717280536274	2.300000e+01 6.190568e+01 3.389275e+01
29 127.3332937426807	2.900000e+01 1.349943e+02 6.510771e+01
34 172.0271850492561	3.400000e+01 2.573248e+02 1.234830e+02
35 182.4310225996556	3.500000e+01 2.379994e+02 1.096700e+02
36 187.4116503552929	3.600000e+01 2.272853e+02 1.350832e+02
37 192.5801959010439	3.700000e+01 2.072351e+02 1.296345e+02
40 96.90871244359893	4.000000e+01 1.635528e+02 8.469327e+01
42 40.06920289651121	4.200000e+01 1.489097e+02 7.878322e+01
44 25.40094467864196	4.400000e+01 1.417399e+02 7.989866e+01
47 18.96577988269144	4.700000e+01 1.378401e+02 7.188917e+01
49 17.7220320534768	4.900000e+01 1.221327e+02 8.897989e+01
51 17.39510961333548	5.100000e+01 9.133573e+01 7.896473e+01
54 17.74536578110607	5.400000e+01 5.932545e+01 7.870763e+01
56 18.29521953521225	5.600000e+01 6.992932e+01 9.059006e+01
61 20.34446967787622	6.100000e+01 4.773438e+01 5.884426e+01
63 21.38752540457252	6.300000e+01 7.007631e+01 6.555749e+01
68 24.55502492633929	6.800000e+01 7.177950e+01 6.165534e+01
