7 42.36639	7.000000e+00 4.236639e+01 1.306945e+01
14 66.77829194927276	1.400000e+01 5.248847e+01 2.397878e+01
23 117.8878200434807	2.300000e+01 1.187480e+02 7.161825e+01
29 169.4737810674164	2.900000e+01 1.829611e+02 1.035204e+02
34 226.180120028147	3.400000e+01 2.672289e+02 1.401927e+02
35 239.1832697663491	3.500000e+01 2.609764e+02 1.533218e+02
36 169.4404460352948	3.600000e+01 2.308315e+02 1.374298e+02
37 133.1770959284807	3.700000e+01 2.070743e+02 1.101711e+02
40 51.27002426529432	4.000000e+01 1.181862e+02 6.282524e+01
42 35.05133445720064	4.200000e+01 1.108482e+02 5.944595e+01
44 29.7493892594067	4.400000e+01 9.876130e+01 4.135047e+01
47 28.36517874338361	4.700000e+01 8.113561e+01 4.077527e+01
49 29.29946431789128	4.900000e+01 7.151416e+01 4.188331e+01
51 31.02238868017552	5.100000e+01 7.042556e+01 6.338650e+01
54 34.61161253638979	5.400000e+01 1.852676e+01 3.705352e+01
56 37.54448854391585	5.600000e+01 1.468650e+01 2.937301e+01
61 46.63935579626261	6.100000e+01 1.741392e+01 3.482783e+01
63 51.02478471308117	6.300000e+01 1.674593e+01 3.349186e+01
68 64.16705121614555	6.800000e+01 1.552366e+01 3.104732e+01
